,TBL_ID,CODE1,SCR_MN1,SCR_ENG1,DTVAL_CO,PERIOD,Sector
22,DT_NSO_0500_022V1,1,ДНБ,GDP,28404500.98,2022-12-31,GDP
23,DT_NSO_0500_022V1,101,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур","Agriculture, forestry, fishing and hunting",4251872.79,2022-12-31,Agriculture
24,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,3257893.79,2022-12-31,Mining
25,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,2346912.3,2022-12-31,Industry
26,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",760880.19,2022-12-31,Electricity
27,DT_NSO_0500_022V1,105,Барилга,Construction,890878.38,2022-12-31,Construction
28,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,3194156.05,2022-12-31,Trade
29,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,1208102.38,2022-12-31,Transportation
30,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,784861.81,2022-12-31,Information
31,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,8138299.93,2022-12-31,Service
32,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,3570643.38,2022-12-31,Taxes
77,DT_NSO_0500_022V1,1,ДНБ,GDP,20264989.5,2022-09-30,GDP
78,DT_NSO_0500_022V1,101,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур","Agriculture, forestry, fishing and hunting",3374134.8,2022-09-30,Agriculture
79,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,2131781.7,2022-09-30,Mining
80,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,1354505.3,2022-09-30,Industry
81,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",521999.1,2022-09-30,Electricity
82,DT_NSO_0500_022V1,105,Барилга,Construction,391923.7,2022-09-30,Construction
83,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,2184702.0,2022-09-30,Trade
84,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,707866.6,2022-09-30,Transportation
85,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,600193.0,2022-09-30,Information
86,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,5924657.7,2022-09-30,Service
