,TBL_ID,CODE1,SCR_MN1,SCR_ENG1,DTVAL_CO,PERIOD,Sector
20,DT_NSO_0500_022V2,1,ДНБ,GDP,5626210.6,2022-03-31,GDP
22,DT_NSO_0500_022V2,10101,"Өрхийн хэрэглээ, Өрхөд үйлчилдэг ашгийн бус байгууллагын хэрэглээ","Household consumption, NPISHs consumption",4461246.2,2022-03-31,Household consumption
23,DT_NSO_0500_022V2,10102,Төрийн байгууллагын хэрэглээ,Government consumption,970779.8,2022-03-31,Government consumption
24,DT_NSO_0500_022V2,102,Хөрөнгийн нийт хуримтлал,Gross capital formation,2196854.1,2022-03-31,Capital formation
28,DT_NSO_0500_022V2,10301,"Бараа, үйлчилгээний экспорт",Exports of goods and services,2321258.8,2022-03-31,Exports
29,DT_NSO_0500_022V2,10302,"Бараа, үйлчилгээний импорт",Imports of goods and services,4323928.3,2022-03-31,Imports
50,DT_NSO_0500_022V2,1,ДНБ,GDP,26995440.678,2021-12-31,GDP
52,DT_NSO_0500_022V2,10101,"Өрхийн хэрэглээ, Өрхөд үйлчилдэг ашгийн бус байгууллагын хэрэглээ","Household consumption, NPISHs consumption",16958749.674,2021-12-31,Household consumption
53,DT_NSO_0500_022V2,10102,Төрийн байгууллагын хэрэглээ,Government consumption,5177439.044,2021-12-31,Government consumption
54,DT_NSO_0500_022V2,102,Хөрөнгийн нийт хуримтлал,Gross capital formation,11426291.937,2021-12-31,Capital formation
58,DT_NSO_0500_022V2,10301,"Бараа, үйлчилгээний экспорт",Exports of goods and services,11653853.385,2021-12-31,Exports
59,DT_NSO_0500_022V2,10302,"Бараа, үйлчилгээний импорт",Imports of goods and services,18220893.361,2021-12-31,Imports
80,DT_NSO_0500_022V2,1,ДНБ,GDP,19572150.439,2021-09-30,GDP
82,DT_NSO_0500_022V2,10101,"Өрхийн хэрэглээ, Өрхөд үйлчилдэг ашгийн бус байгууллагын хэрэглээ","Household consumption, NPISHs consumption",12730500.219,2021-09-30,Household consumption
83,DT_NSO_0500_022V2,10102,Төрийн байгууллагын хэрэглээ,Government consumption,3111366.218,2021-09-30,Government consumption
84,DT_NSO_0500_022V2,102,Хөрөнгийн нийт хуримтлал,Gross capital formation,9009932.389,2021-09-30,Capital formation
88,DT_NSO_0500_022V2,10301,"Бараа, үйлчилгээний экспорт",Exports of goods and services,8242197.82,2021-09-30,Exports
89,DT_NSO_0500_022V2,10302,"Бараа, үйлчилгээний импорт",Imports of goods and services,13521846.307,2021-09-30,Imports
110,DT_NSO_0500_022V2,1,ДНБ,GDP,12562456.0,2021-06-30,GDP
112,DT_NSO_0500_022V2,10101,"Өрхийн хэрэглээ, Өрхөд үйлчилдэг ашгийн бус байгууллагын хэрэглээ","Household consumption, NPISHs consumption",8320606.2,2021-06-30,Household consumption
113,DT_NSO_0500_022V2,10102,Төрийн байгууллагын хэрэглээ,Government consumption,2126305.7,2021-06-30,Government consumption
114,DT_NSO_0500_022V2,102,Хөрөнгийн нийт хуримтлал,Gross capital formation,4786609.5,2021-06-30,Capital formation
118,DT_NSO_0500_022V2,10301,"Бараа, үйлчилгээний экспорт",Exports of goods and services,5836253.2,2021-06-30,Exports
119,DT_NSO_0500_022V2,10302,"Бараа, үйлчилгээний импорт",Imports of goods and services,8507318.7,2021-06-30,Imports
150,DT_NSO_0500_022V2,1,ДНБ,GDP,5849126.2,2021-03-31,GDP
152,DT_NSO_0500_022V2,10101,"Өрхийн хэрэглээ, Өрхөд үйлчилдэг ашгийн бус байгууллагын хэрэглээ","Household consumption, NPISHs consumption",4098657.4,2021-03-31,Household consumption
153,DT_NSO_0500_022V2,10102,Төрийн байгууллагын хэрэглээ,Government consumption,948841.5,2021-03-31,Government consumption
154,DT_NSO_0500_022V2,102,Хөрөнгийн нийт хуримтлал,Gross capital formation,1904450.1,2021-03-31,Capital formation
